CDs 1 V x 2 HOURS Ex 340 nm,,CDs 1 V x 2 HOURS Ex 230 ,,CDs 1 V x 2 HOURS Ex 240 nm,,CDs 1 V x 2 HOURS Ex 250,,CDs 1 V x 2 HOURS Ex 260,,CDs 1 V x 2 HOURS Ex 270,,CDs 1 V x 2 HOURS Ex 280,,CDs 1 V x 2 HOURS Ex 290,,CDs 1 V x 2 HOURS Ex 300,,CDs 1 V x 2 HOURS Ex 300 (2),,CDs 1 V x 2 HOURS Ex 310,,CDs 1 V x 2 HOURS Ex 320,,CDs 1 V x 2 HOURS Ex 330,,CDs 1 V x 2 HOURS Ex 340,,CDs 1 V x 2 HOURS Ex 350,,CDs 1 V x 2 HOURS Ex 360,,CDs 1 V x 2 HOURS Ex 370,,CDs 1 V x 2 HOURS Ex 370,,CDs 1 V x 2 HOURS Ex 390,,CDs 1 V x 2 HOURS Ex 400,,CDs 1 V x 2 HOURS Ex 410,,CDs 1 V x 2 HOURS Ex 420,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
380,-0.232827425,280,-2.718111992,290,-2.718111992,300,-2.634491682,310,-2.394603968,310,-2.066301823,320,-1.440444112,330,-1.028277636,340,-1.017199874,340,-1.081645489,350,-1.140315056,360,-0.3004455566,370,-0.0102865696,380,-0.1848332882,390,-0.7573487759,400,-1.437147737,410,-1.260128856,420,-1.030640602,430,-1.655185461,440,-1.696835399,450,-1.820666552,460,-2.042550564,
381.0599976,-0.1415061951,281.0700073,-2.689018488,291.0700073,-2.731454849,301.0700073,-2.657660246,311.0700073,-2.347110987,311.0700073,-1.958091497,321.0700073,-1.485999227,331.0700073,-1.167916298,341.0700073,-1.170720935,341.0700073,-1.174756646,351.0700073,-1.177773356,361.0599976,-0.347489357,371.0700073,0.1029863358,381.0599976,0.1464438438,391.0599976,-0.6816065311,401.0599976,-1.392231822,411.0599976,-1.203002453,421.0599976,-0.7615143061,431.0599976,-1.614719868,441.0599976,-1.62690413,451.0400085,-1.77624774,461.0599976,-2.022295713,
381.9599915,0.06890916824,282,-2.602035284,292,-2.651610136,302,-2.627274513,312,-2.320163965,312,-2.07649374,322,-1.431897163,332,-1.05279398,342,-1.283052921,342,-1.235819101,352,-1.225052476,361.9599915,-0.4594421387,372,0.1982495785,381.9599915,0.5726854801,391.9599915,-0.2150654793,401.9599915,-1.307077765,411.9599915,-0.9754101038,421.9599915,-0.9444810152,431.9599915,-1.6312567,441.9599915,-1.649996758,451.9400024,-1.821924806,461.9599915,-2.058386326,
383.0299988,0.4864776134,283.0700073,-2.559416294,293.0700073,-2.58607626,303.0700073,-2.680277586,313.0700073,-2.338196516,313.0700073,-1.972140312,323.0700073,-1.493281245,333.0700073,-1.130250335,343.0700073,-1.267302155,343.0700073,-1.301040053,353.0700073,-1.290604472,363.0299988,-0.4847228527,373.0700073,0.2312033176,383.0299988,0.2461488247,393.0299988,-0.2363758087,403.0299988,-1.055611849,413.0299988,-0.5074694157,423.0299988,-0.9292032719,433.0299988,-1.530606151,443.0299988,-1.64978838,452.980011,-1.860858202,463.0299988,-2.028414965,
383.9299927,0.7455079556,284,-2.660025597,294,-2.546061039,304,-2.620363235,314,-2.343518019,314,-1.981062293,324,-1.405331492,334,-1.219613433,344,-1.396913171,344,-1.24478054,354,-1.378563166,363.9299927,-0.6532356739,374,0.2602205276,383.9299927,0.5624403954,393.9299927,-0.1600661278,403.9299927,-1.006866097,413.9299927,-0.06961369514,423.9299927,-1.13384223,433.9299927,-1.509743094,443.9299927,-1.667936921,454.019989,-1.824586868,463.9299927,-2.088866234,
385,0.3995528221,285.0700073,-2.629990816,295.0700073,-2.718111992,305.0700073,-2.672865868,315.0700073,-2.282320738,315.0700073,-1.991650343,325.0700073,-1.480992675,335.0700073,-1.050305963,345.0700073,-1.370411038,345.0700073,-1.29032445,355.0700073,-1.423436165,365,-0.7881519794,375.0700073,0.1980602741,385,0.5492017269,395,0.1234800816,405,-0.7695784569,415,0.3268408775,425,-1.15190661,435,-1.562497616,445,-1.703486562,455.0700073,-1.807306647,465,-2.140397072,
386.0599976,0.6273391247,286,-2.659474611,296,-2.665326118,306,-2.605736494,316,-2.266834497,316,-2.069717884,326,-1.351796389,336,-1.128333688,346,-1.317691922,346,-1.393890619,356,-1.444800377,366.0599976,-0.7789275646,376,0.1588284969,386.0599976,0.68450737,396.0599976,0.3348689079,406.0599976,-0.4961495399,416.0599976,0.4703154564,426.0599976,-1.240142822,436.0599976,-1.56361413,446.0599976,-1.537437797,455.9700012,-1.933756113,466.0599976,-2.093758583,
386.9599915,0.6280441284,287.0700073,-2.718111992,297.0700073,-2.610671759,307.0700073,-2.710544586,317.0700073,-2.362965822,317.0700073,-1.936206818,327.0700073,-1.421206117,337.0700073,-1.137988567,347.0700073,-1.276584029,347.0700073,-1.347339034,357.0700073,-1.48832655,366.9599915,-0.8854068518,377.0700073,-0.1504325867,386.9599915,0.3837442398,396.9599915,0.2520542145,406.9599915,-0.5645847321,416.9599915,0.6880381107,426.9599915,-1.033066392,436.9599915,-1.609823465,446.9599915,-1.540842652,457.0100098,-1.953840494,466.9599915,-2.088155985,
388.0299988,0.7492258549,288,-2.732725859,298,-2.516793966,308,-2.703068256,318,-2.31664443,318,-1.991108179,328,-1.288968921,338,-1.077743769,348,-1.365534067,348,-1.337664127,358,-1.398626804,368.0299988,-1.061397195,378,-0.05108141899,388.0299988,0.4643447399,398.0299988,0.2768230438,408.0299988,-0.4545662403,418.0299988,0.3425629139,428.0299988,-1.036381364,438.0299988,-1.599229097,448.0299988,-1.592441082,458.0499878,-1.799426556,468.0299988,-2.093848705,
388.9299927,0.4496560097,289.0700073,-2.645182133,299.0700073,-2.598006248,309.0700073,-2.657817841,319.0700073,-2.301233292,319.0700073,-1.997768164,329.0700073,-1.447842717,339.0700073,-1.220735431,349.0700073,-1.311016917,349.0700073,-1.267755628,359.0700073,-1.498571873,368.9299927,-0.7224977016,379.0700073,-0.05423378944,388.9299927,0.3452661037,398.9299927,0.279589653,408.9299927,-0.1860628128,418.9299927,0.05150151253,428.9299927,-1.199908614,438.9299927,-1.481624365,448.9299927,-1.607811809,458.9500122,-1.840057373,468.9299927,-2.185789347,
